Core Dates,Ia,Ib,Ic,IIa_5me,IIa_6me,IIb_5me,IIb_6me,IIc_5me,IIc_6me,IIIa_5me,IIIa_6me,IIIb_5me,IIIb_6me,IIIc_5me,IIIc_6me,Referenced Data
5088,0.128524997,0.091151036,0.023396487,0.168773325,0.115729332,0.113381765,0.02784978,0.015089108,0.002912107,0.10138169,0.097416004,0.008264848,0.009327668,0.001573108,0.000736482,"Robles et al., 2022"
5168,0.117254551,0.081637669,0.021793326,0.179673508,0.113190332,0.101406613,0.037638415,0.015498677,0.002937592,0.109264541,0.094850834,0.009068123,0.007037927,0.001716953,0.00100189,"Robles et al., 2022"
5586,0.118545892,0.074288658,0.020243111,0.147874035,0.111898676,0.112073184,0.040352228,0.016609011,0.003982021,0.113169323,0.104224509,0.015382224,0.01088324,0.003200697,0.001292658,"Robles et al., 2022"
6183,0.108326005,0.067361286,0.017255933,0.163251762,0.112263489,0.103029762,0.038964455,0.016534772,0.003687276,0.129662294,0.104498235,0.01362849,0.011808635,0.003853587,0.001519866,"Robles et al., 2022"
7378,0.13550374,0.090066847,0.025778827,0.119970936,0.111869749,0.117924268,0.045519474,0.016429467,0.007487226,0.094166594,0.090961706,0.01345717,0.009771733,0.002799452,0.001680028,"Robles et al., 2022"
7622,0.128876995,0.085447478,0.02275299,0.119672588,0.110738481,0.123984218,0.043638408,0.018417447,0.005221332,0.090673107,0.087391932,0.013057784,0.008952797,0.002807551,0.001275525,"Robles et al., 2022"
7714,0.128114699,0.087104585,0.022382433,0.139344743,0.10844662,0.13054104,0.035901111,0.019419614,0.005155551,0.086812445,0.085965664,0.011760572,0.008586563,0.003022,0.001225752,"Robles et al., 2022"
7817,0.129783358,0.079264111,0.022923014,0.130515982,0.104210398,0.138098083,0.032220984,0.018795122,0.00577434,0.090922005,0.085449317,0.014330816,0.008741618,0.003543311,0.001224768,"Robles et al., 2022"
8039,0.135717258,0.083275313,0.029600052,0.129015719,0.096326149,0.124898175,0.041725134,0.019917167,0.005385707,0.107779572,0.081307851,0.012882294,0.008089976,0.003019259,0.001446083,"Robles et al., 2022"
8149,0.120809888,0.08428741,0.02727466,0.139586543,0.103034558,0.131736115,0.034953103,0.019429063,0.005879918,0.105417588,0.090335165,0.013691994,0.00872611,0.003637419,0.001398135,"Robles et al., 2022"
8260,0.117273721,0.078382189,0.024642155,0.133901796,0.130736683,0.111451093,0.043992111,0.017042828,0.006517485,0.098863667,0.111268652,0.013251573,0.010865755,0.003250714,0.001544647,"Robles et al., 2022"
8481,0.12918528,0.080204916,0.029894887,0.11017911,0.107949218,0.113371434,0.061840805,0.021456973,0.012434488,0.079120982,0.094582705,0.014063627,0.014257361,0.004466731,0.002697497,"Robles et al., 2022"
8592,0.124795923,0.075635726,0.029439373,0.124677299,0.11555713,0.113991117,0.050298111,0.018444496,0.010143809,0.087850628,0.095132197,0.012089308,0.011972182,0.00396936,0.002424102,"Robles et al., 2022"
8702,0.114351009,0.078824295,0.024785811,0.13454706,0.146898377,0.101222137,0.052589043,0.01229976,0.006643666,0.087358081,0.127784174,0.010239663,0.013153858,0.002184108,0.001704109,"Robles et al., 2022"
8813,0.103785604,0.060653191,0.016601913,0.177207754,0.123020592,0.092123339,0.039438642,0.010869033,0.003039179,0.121160652,0.146991603,0.009549433,0.008271254,0.002108898,0.001173038,"Robles et al., 2022"
8953,0.131171316,0.041033555,0.011534135,0.139882261,0.163287618,0.06421287,0.019347685,0.006456104,0.001385127,0.107171177,0.223583913,0.007097154,0.007511875,0.001347474,0.000776131,"Robles et al., 2022"
9103,0.099374432,0.073833042,0.02881637,0.123817868,0.120497892,0.109018737,0.043111185,0.016422381,0.005171653,0.125609088,0.131676336,0.014371046,0.010787547,0.003935174,0.001762477,"Robles et al., 2022"
9253,0.109644902,0.046131635,0.011834728,0.188461699,0.157671207,0.05409843,0.049037613,0.005033539,0.003669452,0.143127296,0.158857983,0.006346086,0.01087694,0.000916625,0.001167214,"Robles et al., 2022"
9403,0.080227122,0.059448697,0.014434853,0.110750758,0.112412719,0.091895107,0.064693725,0.017504347,0.01012575,0.102800007,0.157512002,0.018005016,0.019268654,0.006075443,0.003767365,"Robles et al., 2022"
9553,0.088165605,0.061527497,0.017221694,0.115368994,0.0990654,0.133450337,0.036289682,0.017557395,0.006251535,0.129542435,0.119016189,0.024659035,0.017138915,0.009422208,0.004148741,"Robles et al., 2022"
9696,0.078894822,0.058390776,0.016950968,0.109786135,0.112221583,0.111224702,0.045587333,0.013205518,0.004911868,0.133334676,0.144182344,0.023993441,0.020309238,0.009860703,0.006465722,"Robles et al., 2022"
