Unique ID;Author's Sample Name;Latitude;Longitude;pH;Referenced Data;Ia;Ib;Ic;IIa_5me;IIa_6me;IIb_5me;IIb_6me;IIc_5me;IIc_6me;IIIa_5me;IIIa_6me;IIIb_5me;IIIb_6me;IIIc_5me;IIIc_6me;Sample type
Lake-58;Duncan 2;44.6473;-107.447;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.30069786;0.0321766;0.01314611;0.31571005;0.09385931;0.02293195;0.00808537;0.0095145;0;0.17927393;0.02191758;0.00148089;0.00120586;0;0;Lake
Lake-59;Duncan 3;44.6473;-107.447;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.27214971;0.01955373;0.00267105;0.28846329;0.14132633;0.01450338;0.00650134;0.00588635;0;0.19606446;0.05004154;0.00163983;0.00119899;0;0;Lake
Lake-60;East Glaciar;41.3773;-106.2594;6.85;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.0949247;0.00940844;0.00123503;0.23525619;0.11492963;0.01695212;0.00154896;0.00187229;0;0.46008696;0.06154118;0.00207531;0.00016918;0;0;Lake
Lake-61;Lake Eileen;40.902;-106.673;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.1680808;0.01007716;0.00232987;0.25621473;0.11550213;0.01264607;0.01315126;0.00276366;0;0.31412036;0.09926164;0.00264984;0.0032025;0;0;Lake
Lake-62;Fire Box;41.4424;-106.1925;7.66;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.3205005;0.01738915;0.00466635;0.34769549;0.10969363;0.01069647;0.00148572;0.00552259;0;0.14829341;0.03222804;0.0010204;0.00060114;0.00020712;0;Lake
Lake-63;Fishhook;41.3575;-106.2675;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.13667017;0.05006114;0.01025983;0.28441683;0.181542;0.03396561;0.01925723;0.00455215;0.00094996;0.16497726;0.109;0.00245591;0.00193556;0.00010955;0.00000693;Lake
Lake-64;Gem Lake;40.881;-106.734;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.14215211;0.02132021;0.00569159;0.23005478;0.12207998;0.03874586;0.01459774;0.00580108;0.00037709;0.32091572;0.09097975;0.00299514;0.00428896;0;0;Lake
Lake-65;Highway 130;41.3513;-106.2638;8.69;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.12664995;0.0730139;0.00651901;0.17904235;0.17987546;0.06697847;0.05290084;0.00244312;0.00196509;0.16618771;0.12951775;0.0072068;0.00687026;0.00031206;0.00051723;Lake
Lake-66;Hourglass;41.35;-106.2709;8.87;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.15372387;0.04085774;0.00368667;0.20533721;0.25772847;0.03044037;0.02858013;0.00098086;0;0.12646283;0.14929311;0.00280728;0;0.00010147;0;Lake
Lake-67;Lewis;41.3594;-106.2959;6.29;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.13765726;0.0193349;0.00549663;0.24778903;0.10156981;0.04163219;0.00577853;0.00798469;0.00024053;0.3407353;0.08139208;0.00694656;0.00126424;0.0020349;0.00014336;Lake
Lake-68;Libby;41.3547;-106.2983;6.44;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.09724697;0.01670153;0.00410835;0.19506427;0.10966232;0.05020592;0.01123693;0.00680334;0;0.37085364;0.126;0.0089713;0.00222233;0.00138204;0.0000304;Lake
Lake-69;Libby Flats;41.324801;-106.28583;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.32003125;0.02922781;0.00507342;0.38937379;0.0833769;0.01297962;0.00281876;0.00583402;0;0.13025945;0.02012542;0.00070544;0.00019413;0;0;Lake
Lake-70;Libby Flats I;41.331934;-106.29405;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.17614185;0.04221114;0.00958667;0.28110129;0.21084193;0.02656166;0.01099394;0.00612028;0.00011309;0.12589398;0.107;0.00201958;0.00087793;0.00019709;0.00000462;Lake
