Unique ID;Author's Sample Name;Latitude;Longitude;pH;Referenced Data;Ia;Ib;Ic;IIa_5me;IIa_6me;IIb_5me;IIb_6me;IIc_5me;IIc_6me;IIIa_5me;IIIa_6me;IIIb_5me;IIIb_6me;IIIc_5me;IIIc_6me;Sample type
Lake-529;Angzi Co;31.00857;87.08711;9.68;Kou et al., 2022;0.271728302;0.045569966;0.000331081;0.028116959;0.211148209;0.014550626;0.027658966;0.00030357;0.000307244;0.038352502;0.142706863;0.000325334;0.011375108;0.000480417;0.000936337;Lake
Lake-530;Tong Tso;32.17584;84.72736;9.016667;Kou et al., 2022;0.130753898;0.053822423;0.007081788;0.066399479;0.20624501;0.029006819;0.089157528;0.003532375;0.007441122;0.049667557;0.181233269;0.002009845;0.004608482;0.000598637;0.001686104;Lake
Lake-531;Cam Co;32.1095;83.55431;8.625;Kou et al., 2022;0.085039364;0.058288628;0.009889561;0.096536262;0.152407448;0.038019988;0.09740948;0.005423936;0.010294928;0.078200727;0.163142125;0.003639821;0.005268352;0.001116406;0.003521288;Lake
Lake-532;Lagkor Co;32.03845;84.13915;8.8425;Kou et al., 2022;0.266168068;0.017230526;0.003338909;0.024282163;0.090435748;0.014261192;0.078157254;0.006135711;0.011240005;0.048512943;0.141893513;0.001534871;0.014444095;0.00097485;0.012701809;Lake
Lake-533;Lumajangdong Co;34.01252;81.67713;9.6;Kou et al., 2022;0.054284192;0.022681315;0.023098039;0.006472326;0.090526071;0.008662092;0.197964843;0.004743839;0.133702865;0.067127938;0.094592405;0.003890734;0.011037943;0.003430765;0.024847493;Lake
Lake-534;Jieze Caka;33.942;80.881;9;Kou et al., 2022;0.040804387;0.02781574;0.027658375;0.021455705;0.081308798;0.013200107;0.233014507;0.002125181;0.194463538;0.032678917;0.109971886;0.00410132;0.02488482;0;0.048520558;Lake
Lake-535;Dajia Lake;29.81269;85.73092;9.45;Kou et al., 2022;0.055726771;0.005055776;0.001203127;0.029523128;0.125653165;0.01461794;0.020188274;0.001302988;0.005295221;0.066496487;0.238326561;0.007107203;0.012280406;0.000270855;0.007435112;Lake
Lake-536;Tso Ngon (Naqu);31.49208;91.51275;8.79125;Kou et al., 2022;0.111613181;0.026274628;0.00374649;0.058875566;0.274856138;0.023456544;0.0734699;0.001522798;0.004642236;0.076186856;0.204674358;0.00153923;0;0;0;Lake
Lake-537;Neri Pumco;31.30337;91.46294;9.4;Kou et al., 2022;0.129890885;0.057834013;0.00680758;0.080449786;0.261449142;0.02128481;0.058068715;0.004258266;0.007824656;0.053289375;0.16961473;0;0;0;0;Lake
Lake-538;Cona;32.04859;91.46939;8.6;Kou et al., 2022;0.033248622;0.015470838;0.004731232;0.057399999;0.105801863;0.034391904;0.084070482;0.008207202;0.006315996;0.11739322;0.376812527;0.027797569;0.050474553;0.005051724;0.016026123;Lake
Lake-539;Dung Co;31.67297;91.16652;9.45;Kou et al., 2022;0.176852894;0.033827438;0.002600166;0.060971957;0.2392346;0.027414673;0.081787149;0.006647587;0.005558817;0.053730248;0.131093826;0;0;0;0;Lake
Lake-540;Pung Co;31.49792;90.93883;9.04875;Kou et al., 2022;0.096339329;0.024406471;0.005007481;0.077859261;0.32713948;0.029595219;0.077092935;0.00165578;0.003609107;0.07608545;0.189082135;0.000944249;0.00237225;0.000624083;0.000548104;Lake
Lake-541;Darao Co;31.69634;90.74082;9.2825;Kou et al., 2022;0.081001566;0.037369387;0.005737921;0.097911687;0.184816855;0.030837657;0.071844402;0.002858162;0.004027171;0.111095485;0.215930648;0.002132259;0.003613613;0.000291822;0.000390028;Lake
Lake-542;Bam Co;31.16818;90.54804;9.12375;Kou et al., 2022;0.095252766;0.035485445;0.004753207;0.101920061;0.260070928;0.035724123;0.074710014;0.003840602;0.004480357;0.109836837;0.24449987;0.002678619;0.005844777;0.001220143;0.000588671;Lake
Lake-543;Yoqag Co;30.47608;88.6238;8.8;Kou et al., 2022;0.061237535;0.020953565;0.003629104;0.105351304;0.140183959;0.081344751;0.032240909;0.007964343;0.000820981;0.251059169;0.233556345;0.021495372;0.005437883;0.000120542;0.000369217;Lake
Lake-544;Mugqu Co;31.03929;89.01263;9.3;Kou et al., 2022;0.081198688;0.020382275;0.001063204;0.137226466;0.146115966;0.038787809;0.02908989;0.001570362;0.001570362;0.286584375;0.176356039;0.008183362;0.005922767;0.000167334;0.000556389;Lake
Lake-545;Gomang Co;31.20926;89.20426;9.9;Kou et al., 2022;0.090359685;0.024104709;0.008669576;0.084585251;0.240287533;0.033173594;0.045010701;0.002515002;0.00349452;0.094597806;0.294834084;0.004570188;0.012999184;0.001156586;0.000956414;Lake
Lake-546;Urru Co;31.71197;87.94015;9.6;Kou et al., 2022;0.027369503;0.009383453;0.001830452;0.039729078;0.097006951;0.0263995;0.059784795;0.005604101;0.00811402;0.150223633;0.400327936;0.038430649;0.045933197;0.009342376;0.027164069;Lake
Lake-547;Serbug Co;32.0054;88.22871;9.6;Kou et al., 2022;0.066632325;0.027365915;0.004289068;0.040169725;0.250506886;0.022113936;0.069528651;0.000688969;0.005723945;0.038975766;0.202133688;0.000714655;0.002134601;0.000377699;0.000426794;Lake
Lake-548;Norma Co;32.39759;88.06376;10.1;Kou et al., 2022;0.091262243;0.022369861;0.001469078;0.037539127;0.282435931;0.020407984;0.107616324;0.006153584;0.014915293;0.041770444;0.134804834;0.001628019;0.000540065;0.006285563;0.00264008;Lake
Lake-549;Kyebxang Co;32.44787;89.98698;10.2;Kou et al., 2022;0.046569944;0.048636004;0.009963508;0.050263858;0.24019535;0.031141844;0.142947687;0;0;0.058742334;0.276968954;0;0;0;0;Lake
Lake-550;Yamdrok Lake;28.83776;90.61407;9.275;Kou et al., 2022;0.052282893;0.019920544;0.008336038;0.029524621;0.118377339;0.015845604;0.149956092;0.003776329;0.05139303;0.034348314;0.238988021;0.004932783;0.0515349;0.000944028;0.056428606;Lake
Lake-551;Yamdrok Lake;29.06376;90.69569;9.275;Kou et al., 2022;0.049970175;0.017463821;0.007036463;0.03330418;0.110293635;0.017695937;0.143764612;0.004693759;0.06347564;0.029228251;0.253040763;0.006774315;0.066885457;0.003230562;0.082331077;Lake
Lake-552;Yamdrok Lake;28.94769;90.86661;9.275;Kou et al., 2022;0.044689929;0.016411053;0.00813447;0.023738473;0.1034635;0.01831956;0.153070962;0.005088175;0.071042996;0.027330419;0.23646864;0.00986074;0.064033022;0.006290696;0.080483721;Lake
Lake-553;Telashi Lake;34.80761;92.24201;8.4;Kou et al., 2022;0.150082795;0.020027148;0.001942931;0.039871335;0.17048536;0.022089309;0.087107742;0.001542611;0.005052844;0.063069804;0.188877467;0.002719723;0.006881186;0.000400319;0.00104733;Lake
Lake-554;Wulanwula Lake;34.85856;90.36724;7.88;Kou et al., 2022;0.186179353;0.00579204;0;0.016255979;0.343214601;0;0;0;0;0.0528454;0.139296893;0;0;0;0;Lake
Lake-555;Wulanwula Lake;34.76625;90.66956;7;Kou et al., 2022;0.050772217;0.026411909;0.017381244;0.023027128;0.128550481;0.046536966;0.125563469;0.015723892;0.012294573;0.056644423;0.282347505;0.005515008;0.030155621;0.001784205;0.019893593;Lake
Lake-556;Xijir Ulan Lake;35.20498;90.32599;n.m.;Kou et al., 2022;0.062064385;0.023498753;0.002713839;0.039120755;0.174953891;0.026554138;0.077781702;0.002838278;0.010077828;0.059843009;0.217349786;0.002428775;0.005981035;0;0.001545344;Lake
Lake-557;Lexie Wudan Lake;35.74431;90.2012;7;Kou et al., 2022;0.055557235;0.025858817;0.004315425;0.033718158;0.199606872;0.025200702;0.103819228;0.003370955;0.00980426;0.050562883;0.311843081;0.004437431;0.009047823;0.001916212;0.008289233;Lake
Lake-558;Taiyang Lake;35.92505;90.62367;8.1;Kou et al., 2022;0.031904475;0.010441814;0.002440071;0.038183493;0.113441219;0.0121805;0.083592419;0.003867309;0.038363358;0.053660579;0.443947873;0.010845535;0.039677678;0.002763984;0.061669379;Lake
Lake-559;Hoh Xil Lake;35.5745;91.23554;8.8;Kou et al., 2022;0.211900975;0.006235367;0.000109449;0.029641564;0.249492892;0.005099182;0.013876966;0.001724738;0.001461107;0.01709337;0.105137706;0.010195936;0.023298222;0.00014911;0.000214476;Lake
Lake-560;Zigetang Co;32.07896;90.89585;10.09667;Kou et al., 2022;0.043273117;0.043346331;0.018829343;0.103160948;0.328094608;0.051867657;0.152983088;0.013503643;0.020753525;0.096761789;0.136734788;0.002093982;0.001008838;0.00268863;0.000548588;Lake
Lake-561;Zigetang Co;32.05677;90.94417;10.09667;Kou et al., 2022;0.094614421;0.055095163;0.00448294;0.077648486;0.245632982;0.051759093;0.035708986;0.002420242;0.009760507;0.100385127;0.243986157;0;0;0;0;Lake
Lake-562;Yagain Co;33.0438;89.79521;8.4;Kou et al., 2022;0.040774812;0.01689552;0.002244053;0.029047229;0.146205775;0.018429741;0.120267217;0.002327242;0.010463385;0.050039459;0.299457373;0.002655225;0.024049079;0;0.002250872;Lake
Lake-563;Yahu Lake;33.17453;89.06883;8.78;Kou et al., 2022;0.174908699;0.024760032;0.013346106;0.033231233;0.070174546;0.031792383;0.051751493;0.005827724;0.006763624;0.056445256;0.124580795;0.004103559;0.002820969;0.000748454;0.003843126;Lake
Lake-564;Angda'er Co;32.69947;89.57089;9.65;Kou et al., 2022;0.05334225;0.005304339;0.006848153;0.112753411;0.118736148;0.013690805;0.060025386;0;0.007002167;0.123066894;0.094651186;0;0;0;0;Lake
Lake-565;Pongyin Co;32.89551;88.20771;8.75;Kou et al., 2022;0.077265149;0.028346094;0.005724867;0.058981988;0.138915022;0.022429615;0.070682066;0.003408638;0.008965386;0.058250045;0.266890542;0.004344673;0.007831865;0.001184177;0.001576211;Lake
Lake-566;Baidoi Co;32.79274;87.82298;9.6;Kou et al., 2022;0.096081415;0.019984402;0.001967951;0.023429489;0.242583355;0.014009778;0.062401068;0.001508214;0.006434906;0.025199848;0.270287987;0;0;0;0;Lake
Lake-567;Yibug Caka;32.96978;86.70863;8.4;Kou et al., 2022;0.062896859;0.043903923;0.005010846;0.047607015;0.218104428;0.02099303;0.106303411;0.004856992;0.018390786;0.05285262;0.281580889;0.003559849;0.015227507;0.00204121;0.009814785;Lake
Lake-568;Lake Ayakum;37.55225;89.48377;8.7;Kou et al., 2022;0.075813735;0.024484832;0.012675972;0.069079378;0.158100744;0.039339659;0.139128718;0.00574066;0.019144499;0.077578023;0.178099696;0.004239037;0.012883256;0.002455762;0.003623515;Lake
Lake-569;Lake Ayakum;37.56534;89.24283;8.7;Kou et al., 2022;0.070495877;0.029885036;0.003940206;0.0318486;0.153952025;0.027824321;0.121245884;0.008048558;0.013890675;0.046376359;0.147338308;0.010281155;0.005135907;0.002804291;0.007222777;Lake
Lake-570;Lake Aqqikkol;37.07402;88.53799;8.775;Kou et al., 2022;0.035135346;0.021170658;0.005060449;0.038691337;0.155799865;0.031054317;0.116540062;0.003263656;0.013711892;0.076842728;0.269811323;0.00368563;0.017004716;0.00088284;0.009232873;Lake
Lake-571;Lake Aqqikkol;37.11399;88.29377;8.775;Kou et al., 2022;0.152962288;0.020991513;0;0.062017822;0.187380008;0.033444924;0.073900418;0;0;0.08993147;0.250869086;0;0;0;0;Lake
Lake-572;Lake Aqqikkol;37.11011;88.46237;8.775;Kou et al., 2022;0.060010448;0.029838772;0.01673284;0.045450249;0.231105929;0.037223999;0.196229784;0;0;0.110857257;0.15137526;0;0;0;0;Lake
Lake-573;Jingyu Lake;36.33056;89.43138;8.95;Kou et al., 2022;0.16283563;0.015862492;0.001358455;0.025708251;0.149948564;0.019203848;0.111747106;0.002851539;0.003249695;0.044753839;0.233412297;0.002161212;0.011206363;0.001246743;0.005304923;Lake
Lake-574;Zhuonai Lake;35.55781;91.93915;8.8;Kou et al., 2022;0.217191877;0.019773299;0.002000954;0.045966738;0.165643621;0.025749137;0.064594849;0.003601485;0.004866393;0.077158785;0.116690563;0.004811182;0.005818633;0.000401586;0.001243405;Lake
Lake-575;DH-6 CL;30.91;114.07;8.5;Qian et al., 2019;0.2084;0.1472;0.0252;0.1724;0.1216;0.117;0.0563;0.0152;0.0032;0.0619;0.0525;0.0096;0.0071;0.0015;0.0006;Lake
Lake-576;DH-7 CL;30.91;114.07;8.5;Qian et al., 2019;0.2139;0.1504;0.0255;0.1765;0.1152;0.1197;0.052;0.0148;0.0035;0.06;0.0501;0.0092;0.0065;0.0016;0.0007;Lake
Lake-577;DH-9 CL;30.91;114.07;8.5;Qian et al., 2019;0.2148;0.1503;0.0248;0.1712;0.1217;0.1159;0.0573;0.0142;0.0033;0.0571;0.0507;0.0091;0.0071;0.0016;0.0006;Lake
Lake-578;DH-10 CL;30.91;114.07;8.5;Qian et al., 2019;0.2192;0.1584;0.0246;0.1738;0.1212;0.1114;0.0611;0.0133;0.003;0.0534;0.0437;0.0074;0.0063;0.0012;0.0005;Lake
Lake-579;DH-11 CL;30.91;114.07;8.5;Qian et al., 2019;0.2158079;0.1506092;0.0253974;0.1640169;0.1294438;0.1104939;0.0624414;0.014341;0.003319;0.0546306;0.0511516;0.0089785;0.0067092;0.0015411;0.0006152;Lake
Lake-580;DH-12 CL;30.91;114.07;8.5;Qian et al., 2019;0.2078;0.1443;0.0244;0.1659;0.1301;0.1133;0.0626;0.0148;0.0036;0.0597;0.0535;0.0092;0.0082;0.0018;0.0008;Lake
Lake-581;DH-1 CL;30.91;114.07;8.5;Qian et al., 2019;0.2034;0.1429;0.0243;0.1697;0.1269;0.1176;0.0586;0.0145;0.0034;0.063;0.0558;0.01;0.0076;0.0017;0.0007;Lake
Lake-582;DH-2 CL;30.91;114.07;8.5;Qian et al., 2019;0.2056;0.1467;0.0259;0.1661;0.1311;0.1154;0.0599;0.0152;0.0038;0.0573;0.0534;0.0095;0.0076;0.0017;0.0007;Lake
Lake-583;DH-3 CL;30.91;114.07;8.5;Qian et al., 2019;0.2053;0.1449;0.025;0.1726;0.1253;0.1167;0.0597;0.0151;0.0035;0.0593;0.053;0.0097;0.007;0.0017;0.0007;Lake
Lake-584;DH-4 CL;30.91;114.07;8.5;Qian et al., 2019;0.2015;0.148;0.0252;0.1699;0.1252;0.116;0.0591;0.0147;0.0035;0.0631;0.0543;0.0099;0.0073;0.0017;0.0007;Lake
Lake-585;DH-5 CL;30.91;114.07;8.5;Qian et al., 2019;0.2111061;0.1546157;0.0273474;0.168431;0.130574;0.1144904;0.0612286;0.0144985;0.003271;0.054141;0.0441066;0.0078754;0.0083145;0.0013119;0.0005482;Lake
Lake-586;2DH-6 CL;30.91;114.07;8.5;Qian et al., 2019;0.2074613;0.1521163;0.0269082;0.16628;0.122048;0.1149734;0.0602765;0.0153718;0.0034932;0.0604223;0.049932;0.0096923;0.0085114;0.0016596;0.0008536;Lake
Lake-587;2DH-7 CL;30.91;114.07;8.5;Qian et al., 2019;0.221066;0.1539436;0.0275556;0.1572855;0.1247302;0.1124358;0.0598868;0.0157216;0.0033619;0.0533582;0.0512376;0.0089523;0.0078951;0.0016396;0.0009302;Lake
Lake-588;2DH-8 CL;30.91;114.07;8.5;Qian et al., 2019;0.2190876;0.1548938;0.027156;0.1612033;0.1195447;0.1145255;0.0579586;0.0150736;0.0038046;0.0564353;0.0501983;0.0096032;0.0082351;0.0017112;0.000902;Lake
Lake-589;2DH-12 CL;30.91;114.07;8.5;Qian et al., 2019;0.2055622;0.1494357;0.0256459;0.1706369;0.1219627;0.1149734;0.0581347;0.014492;0.0035396;0.0620015;0.0525627;0.0101157;0.0083173;0.0017586;0.000861;Lake
Lake-590;2DH-1 CL;30.91;114.07;8.5;Qian et al., 2019;0.2057906;0.1482743;0.0257184;0.1700509;0.1224075;0.1153461;0.0591778;0.0147456;0.0035448;0.0615839;0.0528512;0.0096439;0.0084202;0.0015884;0.0008563;Lake
Lake-591;2DH-2 CL;30.91;114.07;8.5;Qian et al., 2019;0.2079609;0.1462265;0.0254262;0.1678272;0.1255554;0.1120614;0.0600679;0.0147347;0.003466;0.0618882;0.0534713;0.0098111;0.0089572;0.0017087;0.0008374;Lake
Soil-01;Coniferous forest;44.9808472;4.174;;"Martin et al., 2019; Martin et al. 2020";0.352;0.025;0.01;0.412;0.056;0.011;0.004;0.002;0;0.103;0.011;0.001;0.001;0.001;0;Soil
Soil-02;Coniferous forest;44.9798667;4.17405;;"Martin et al., 2019; Martin et al. 2020";0.325;0.027;0.011;0.41;0.063;0.011;0.007;0.002;0;0.121;0.013;0.001;0;0.001;0;Soil
Soil-03;Deciduous forest;44.9810167;4.17483333;;"Martin et al., 2019; Martin et al. 2020";0.343;0.012;0.002;0.452;0.022;0.007;0.002;0.003;0;0.14;0.006;0.001;0.001;0.001;0;Soil
Soil-04;Deciduous forest;44.9802833;4.17506667;;"Martin et al., 2019; Martin et al. 2020";0.405;0.01;0.002;0.434;0.016;0.005;0.001;0.002;0;0.109;0.002;0;0;0;0;Soil
Soil-05;Grassland;44.9799667;4.16503333;;"Martin et al., 2019; Martin et al. 2020";0.332;0.031;0.007;0.394;0.074;0.012;0.004;0.002;0;0.115;0.014;0.001;0.001;0.001;0;Soil
Soil-06;Grassland;44.9786;4.16798333;;"Martin et al., 2019; Martin et al. 2020";0.338;0.035;0.014;0.357;0.098;0.014;0.007;0.003;0;0.104;0.019;0.001;0.001;0.001;0;Soil
Soil-07;WDLC-S;;;;Yao et al., 2020;0.3927;0.0699;0.0175;0.2661;0.1412;0.0247;0.0178;0.0028;0.0006;0.038;0.0269;0.0007;0.0012;0;0;Soil
Soil-08;CH16-S;;;;Yao et al., 2020;0.2841;0.0569;0.0163;0.1524;0.3073;0.0233;0.0363;0;0;0.0323;0.0912;0;0;0;0;Soil
Soil-09;JCZ16-S;;;;Yao et al., 2020;0.286;0.1117;0.0262;0.2225;0.1396;0.0493;0.0404;0.0108;0.0019;0.0535;0.0499;0.0021;0.0047;0.0008;0.0007;Soil
Soil-10;TCZ18-S;;;;Yao et al., 2020;0.4555;0.0315;0.0027;0.343;0.0625;0.0114;0.005;0.0022;0.0006;0.0737;0.012;0;0;0;0;Soil
Soil-11;WDLC-6(2);;;;Yao et al., 2020;0.1162;0.0345;0.0055;0.0386;0.4863;0.023;0.0487;0.0021;0.0034;0.0166;0.2153;0.0025;0.0074;0;0;Soil
Soil-12;WD-S-2;;;;Yao et al., 2020;0.252;0.0841;0.0345;0.1848;0.163;0.0755;0.0327;0.0148;0.0032;0.0607;0.0584;0.0162;0.0092;0.0063;0.0046;Soil
Soil-13;WD-S-9;;;;Yao et al., 2020;0.4723;0.0759;0.0164;0.2706;0.0522;0.026;0.007;0.0167;0.0005;0.0402;0.0173;0.0016;0.0014;0.0017;0.0001;Soil
Soil-14;AES-4;;;;Yao et al., 2020;0.6224;0.0436;0.0061;0.2164;0.055;0.0105;0.0047;0.0027;0.0001;0.0242;0.0129;0.0005;0.0008;0.0002;0;Soil
Soil-15;AES-7;;;;Yao et al., 2020;0.5674;0.0373;0.0048;0.2676;0.0608;0.0103;0.0043;0.003;0.0002;0.0307;0.0118;0.0005;0.0008;0.0003;0;Soil
Soil-16;XLW;;;;Yao et al., 2020;0.5303;0.0656;0.0081;0.2089;0.0846;0.0222;0.0159;0.0035;0.0011;0.0307;0.025;0.0008;0.0024;0.0002;0.0006;Soil
Soil-17;ELW;;;;Yao et al., 2020;0.3872;0.0987;0.0211;0.2462;0.0903;0.04;0.0136;0.0161;0.0021;0.0436;0.0333;0.003;0.0024;0.0021;0.0003;Soil
Soil-18;DLW-1;;;;Yao et al., 2020;0.1953;0.1109;0.005;0.1542;0.2325;0.0624;0.0801;0.0021;0.002;0.0432;0.0998;0.0031;0.008;0.0006;0.0008;Soil
Soil-19;DLW-2;;;;Yao et al., 2020;0.2107;0.1466;0.0173;0.1415;0.1981;0.0695;0.0798;0.0094;0.0048;0.0339;0.075;0.0024;0.0085;0.0004;0.0023;Soil
Soil-20;DoLW;;;;Yao et al., 2020;0.3441;0.0914;0.0148;0.2173;0.1642;0.0475;0.0269;0.0049;0.0013;0.0415;0.0422;0.0011;0.0021;0.0003;0.0003;Soil
Soil-21;SJLW-1;;;;Yao et al., 2020;0.2271;0.1251;0.0238;0.1677;0.1764;0.0842;0.0573;0.0089;0.0027;0.0414;0.0739;0.0032;0.0067;0.0004;0.0012;Soil
Soil-22;SJLW-2;;;;Yao et al., 2020;0.1807;0.1535;0.0284;0.153;0.157;0.0931;0.0866;0.0117;0.0032;0.0396;0.0776;0.0036;0.0101;0.0006;0.0013;Soil
Soil-23;SJLW-3;;;;Yao et al., 2020;0.2495;0.1088;0.012;0.1325;0.2057;0.0602;0.0856;0.0061;0.0032;0.0288;0.0926;0.0024;0.0109;0.0003;0.0014;Soil
Soil-24;Australia-17;-34.72;148.33;6.4;De Jonge et al., 2014;0.45081967;0.13415301;0.00797814;0.16256831;0.14672131;0.00734973;0.02530055;0;0;0.03196721;0.0223224;0;0;0;0.01008197;Soil
Soil-25;Australia-4;-26.72;150.36;6.6;De Jonge et al., 2014;0.51782683;0.02122241;0.0020034;0.26315789;0.12903226;0.00721562;0.00611205;0;0.00073175;0.02529711;0.02614601;0;0;0;0;Soil
Soil-26;Brazil-12;-2.6;-54.95;6.2;De Jonge et al., 2014;0.58881119;0.22237762;0.07104895;0.03090909;0.04251748;0.01776224;0.01524476;0.00141259;0.00106294;0.00229371;0.00541259;0;0;0;0;Soil
Soil-27;Brazil-13;;;;De Jonge et al., 2014;0.92558984;0.01742287;0.01564428;0.03520871;0.00306715;0;0;0;0;0.00197822;0;0;0;0.0006225;0.00101996;Soil
Soil-28;Brazil-14;-15.6;-47.7;4;De Jonge et al., 2014;0.90652557;0.00248677;0.00405644;0.0617284;0.01626102;0;0;0;0;0.00276896;0.00266314;0.00077778;0.00183422;0;0;Soil
Soil-29;Brazil-28;-12;-50;5.9;De Jonge et al., 2014;0.82035928;0.08083832;0.02562874;0.02311377;0.02868263;0.00273054;0.01077844;0.00022934;0.00069461;0.00132335;0.00282635;0;0.00065269;0.00081437;0;Soil
Soil-30;Brazil-6;-22.55;-50.32;5.2;De Jonge et al., 2014;0.9097561;0.00543902;0.00573171;0.05780488;0.01043902;0;0;0;0;0.00380488;0.00314634;0;0;0;0.00370732;Soil
Soil-31;Cameroon-1;4.23;9.33;6.4;De Jonge et al., 2014;0.53602305;0.23804035;0.06167147;0.04553314;0.05907781;0.0207781;0.02579251;0;0;0.00648415;0.00645533;0;0;0;0;Soil
Soil-32;Canada-14;45.42;-63.42;4;De Jonge et al., 2014;0.57038835;0.02101942;0.02475728;0.35679612;0;0.0048301;0;0.00441748;0;0.01604369;0.00107039;0;0;0;0;Soil
Soil-33;Canada-17;49.95;-98.18;7.7;De Jonge et al., 2014;0.1380863;0.08986867;0.00947467;0.12626642;0.2120075;0.09155722;0.10694184;0.00356473;0.00469043;0.06378987;0.13470919;0.0049531;0.01401501;0;0;Soil
Soil-34;Canada-24;49.25;-122.38;5;De Jonge et al., 2014;0.48505747;0.02643678;0.00535632;0.35862069;0.01301149;0.00901149;0.00172414;0.004;0;0.08298851;0.01016092;0.00152414;0.00169425;0.00149195;0;Soil
Soil-35;China-19;18.9;109.5;4.6;De Jonge et al., 2014;0.9339207;0.01852423;0.00528634;0.03590308;0.00669604;0;0;0;0;0;0;0;0;0;0;Soil
Soil-36;China-20;18.77;110.33;3.9;De Jonge et al., 2014;0.88971684;0.01609538;0.01254844;0.0657228;0.01183308;0;0;0;0;0.0042772;0;0;0;0;0;Soil
Soil-37;China-23;28.22;116.92;4.5;De Jonge et al., 2014;0.85513078;0.01488934;0.00509054;0.06237425;0.03521127;0.0045674;0.00283702;0;0;0.00744467;0.00724346;0;0;0;0.00458753;Soil
Soil-38;China-25;28.48;116.27;5.5;De Jonge et al., 2014;0.72767857;0.06651786;0.01127232;0.07611607;0.08236607;0.00866071;0.00832589;0;0;0.00915179;0.01095982;0;0;0;0;Soil
Soil-39;China-27;27.09;117.75;4.7;De Jonge et al., 2014;0.82857143;0.02428571;0.00395;0.10857143;0.0185;0.00228571;0.00199286;0;0;0.00778571;0.00413571;0;0;0;0;Soil
Soil-40;China-31;24.38;114.28;6.1;De Jonge et al., 2014;0.66097561;0.18097561;0.02804878;0.05268293;0.04292683;0.01058537;0.01373171;0;0;0.00497561;0.00517073;0;0;0;0;Soil
Soil-41;China-32;23.65;113.65;4.3;De Jonge et al., 2014;0.89243028;0.01816733;0.00820717;0.05219124;0.01155378;0.00343426;0.003749;0;0;0.00549801;0.00681275;0;0;0;0;Soil
Soil-42;China-4;28.2;113.83;4.9;De Jonge et al., 2014;0.85943396;0.005;0;0.08;0.04735849;0;0;0;0;0.00664151;0.00638679;0;0;0;0;Soil
Soil-43;China-49;26.38;106.43;6.5;De Jonge et al., 2014;0.20359281;0.31137725;0.05676647;0.05676647;0.10419162;0.0260479;0.15928144;0.00402395;0.0094012;0.0239521;0.02982036;0.00488024;0.01245509;0;0;Soil
Soil-44;China-6;24.82;110.52;7.1;De Jonge et al., 2014;0.54404145;0.18082902;0.04404145;0.06761658;0.10595855;0.01774611;0.01681347;0.00109585;0.0008057;0.00873057;0.01411917;0;0;0;0;Soil
Soil-45;China-MG1180;29.6;102.2;7.9;De Jonge et al., 2014;0.3658147;0.07747604;0;0.14472843;0.2428115;0.014377;0.05335463;0;0;0.03578275;0.06485623;0;0;0;0;Soil
Soil-46;China-MG1220;29.6;102.2;7.3;De Jonge et al., 2014;0.50909091;0.12924242;0.0145;0.10015152;0.14060606;0.01787879;0.04651515;0.00145758;0.00248485;0.01428788;0.02015152;0.00073788;0.00283333;0;0;Soil
Soil-47;China-MG1515;29.6;102.1;6.4;De Jonge et al., 2014;0.83394834;0.00376384;0.001631;0.14243542;0.00944649;0;0;0;0;0.00680812;0.00159594;0;0;0;0;Soil
Soil-48;China-MG1645;29.6;102.1;7.5;De Jonge et al., 2014;0.19642857;0.16964286;0.02946429;0.09732143;0.175;0.084375;0.10892857;0.00510714;0.00910714;0.03553571;0.06732143;0.005;0.015625;0.00087054;0.00330357;Soil
Soil-49;China-MG1740;29.6;102.1;6.7;De Jonge et al., 2014;0.33421053;0.13631579;0.02205263;0.10263158;0.17078947;0.05421053;0.07947368;0.00342105;0.00602632;0.02657895;0.04815789;0.00302632;0.0095;0.00195;0.00120263;Soil
Soil-50;China-MG1800;29.6;102.1;7.1;De Jonge et al., 2014;0.19688889;0.10888889;0.01577778;0.11377778;0.23377778;0.06133333;0.09288889;0.00497778;0.00728889;0.04084444;0.10266667;0.00424;0.01386667;0.00099556;0.00292;Soil
Soil-51;China-MG1850;29.6;102.1;7.5;De Jonge et al., 2014;0.19495798;0.12033613;0.01865546;0.12386555;0.21008403;0.06352941;0.10705882;0.00561345;0.00793277;0.04554622;0.07882353;0.00618487;0.01398319;0.00110756;0.00284034;Soil
Soil-52;China-MG1915;29.6;102.1;6.9;De Jonge et al., 2014;0.43402778;0.103125;0.01621528;0.22743056;0.1125;0.02326389;0.02434028;0.00242708;0.00177431;0.03371528;0.01857639;0.00095833;0.00157292;0;0;Soil
Soil-53;China-MG1973;29.6;102.1;7.7;De Jonge et al., 2014;0.10824176;0.11593407;0.01587912;0.06978022;0.23186813;0.09945055;0.13131868;0.00648352;0.01252747;0.03846154;0.13296703;0.00758242;0.02313187;0.00251648;0.00424176;Soil
Soil-54;China-MG2005;29.6;102.1;7.5;De Jonge et al., 2014;0.30721154;0.07644231;0.01918269;0.21826923;0.16298077;0.04072115;0.04903846;0.00841346;0.00375481;0.04389423;0.05817308;0.00259615;0.00567308;0.00082212;0.00250962;Soil
Soil-55;China-MG2115;29.6;102.1;7.1;De Jonge et al., 2014;0.10873786;0.11456311;0.02504854;0.09252427;0.16601942;0.11262136;0.12718447;0.00917476;0.0168932;0.05737864;0.12330097;0.01174757;0.02699029;0.0026699;0.00804854;Soil
